Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-01 00:00:00-04:00,25.290000915527344,25.290000915527344,24.899999618530273,25.010000228881836,375600,0.0,0.0
2024-10-02 00:00:00-04:00,25.089000701904297,25.09000015258789,25.03499984741211,25.03499984741211,3000,0.0,0.0
2024-10-03 00:00:00-04:00,25.010000228881836,25.05900001525879,24.975000381469727,25.030000686645508,2500,0.0,0.0
2024-10-04 00:00:00-04:00,25.18000030517578,25.219999313354492,25.048999786376953,25.209999084472656,8000,0.0,0.0
2024-10-07 00:00:00-04:00,25.15999984741211,25.15999984741211,24.950000762939453,24.958999633789062,8200,0.0,0.0
2024-10-08 00:00:00-04:00,25.06999969482422,25.280000686645508,25.06999969482422,25.274999618530273,7600,0.0,0.0
2024-10-09 00:00:00-04:00,25.299999237060547,25.437000274658203,25.299999237060547,25.437000274658203,75000,0.0,0.0
2024-10-10 00:00:00-04:00,25.34000015258789,25.43000030517578,25.309999465942383,25.343000411987305,2300,0.0,0.0
2024-10-11 00:00:00-04:00,25.43000030517578,25.486000061035156,25.43000030517578,25.486000061035156,5800,0.0,0.0
2024-10-14 00:00:00-04:00,25.709999084472656,25.7549991607666,25.670000076293945,25.7549991607666,2300,0.0,0.0
2024-10-15 00:00:00-04:00,25.610000610351562,25.610000610351562,25.469999313354492,25.485000610351562,1200,0.0,0.0
2024-10-16 00:00:00-04:00,25.469999313354492,25.56599998474121,25.469999313354492,25.56599998474121,400,0.0,0.0
2024-10-17 00:00:00-04:00,25.610000610351562,25.610000610351562,25.490999221801758,25.490999221801758,400,0.0,0.0
2024-10-18 00:00:00-04:00,25.579999923706055,25.639999389648438,25.579999923706055,25.611000061035156,76000,0.0,0.0
2024-10-21 00:00:00-04:00,25.579999923706055,25.579999923706055,25.479999542236328,25.496999740600586,2100,0.0,0.0
2024-10-22 00:00:00-04:00,25.440000534057617,25.46500015258789,25.399999618530273,25.46500015258789,2800,0.0,0.0
2024-10-23 00:00:00-04:00,25.40999984741211,25.40999984741211,25.20599937438965,25.20599937438965,1800,0.0,0.0
2024-10-24 00:00:00-04:00,25.229999542236328,25.270000457763672,25.229999542236328,25.257999420166016,900,0.0,0.0
2024-10-25 00:00:00-04:00,25.43000030517578,25.43000030517578,25.190000534057617,25.19499969482422,183600,0.0,0.0
2024-10-28 00:00:00-04:00,25.299999237060547,25.299999237060547,25.246000289916992,25.246000289916992,300,0.0,0.0
2024-10-29 00:00:00-04:00,25.1299991607666,25.350000381469727,25.1299991607666,25.347000122070312,9600,0.0,0.0
2024-10-30 00:00:00-04:00,25.34000015258789,25.399999618530273,25.222999572753906,25.222999572753906,6600,0.0,0.0
2024-10-31 00:00:00-04:00,25.15999984741211,25.15999984741211,24.780000686645508,24.780000686645508,4100,0.0,0.0
2024-11-01 00:00:00-04:00,24.899999618530273,24.899999618530273,24.79800033569336,24.79800033569336,2400,0.0,0.0
2024-11-04 00:00:00-05:00,24.770000457763672,24.8700008392334,24.770000457763672,24.773000717163086,18400,0.0,0.0
2024-11-05 00:00:00-05:00,24.9689998626709,25.125,24.9689998626709,25.125,12500,0.0,0.0
2024-11-06 00:00:00-05:00,25.5,25.610000610351562,25.360000610351562,25.610000610351562,36000,0.0,0.0
2024-11-07 00:00:00-05:00,25.829999923706055,25.96299934387207,25.829999923706055,25.96299934387207,600,0.0,0.0
2024-11-08 00:00:00-05:00,26.040000915527344,26.1200008392334,26.020000457763672,26.06999969482422,4000,0.0,0.0
2024-11-11 00:00:00-05:00,26.059999465942383,26.06999969482422,26.020000457763672,26.025999069213867,2500,0.0,0.0
2024-11-12 00:00:00-05:00,26.030000686645508,26.030000686645508,25.920000076293945,25.9950008392334,3300,0.0,0.0
2024-11-13 00:00:00-05:00,26.0,26.06999969482422,25.940000534057617,25.944000244140625,12100,0.0,0.0
2024-11-14 00:00:00-05:00,26.540000915527344,26.540000915527344,25.790000915527344,25.799999237060547,9900,0.0,0.0
2024-11-15 00:00:00-05:00,25.389999389648438,25.389999389648438,25.30900001525879,25.30900001525879,400,0.0,0.0
2024-11-18 00:00:00-05:00,25.31999969482422,25.382999420166016,25.31999969482422,25.382999420166016,700,0.0,0.0
2024-11-19 00:00:00-05:00,25.25,25.540000915527344,25.25,25.523000717163086,4400,0.0,0.0
2024-11-20 00:00:00-05:00,25.3799991607666,25.507999420166016,25.3799991607666,25.507999420166016,4800,0.0,0.0
2024-11-21 00:00:00-05:00,25.389999389648438,25.659000396728516,25.389999389648438,25.659000396728516,1800,0.0,0.0
2024-11-22 00:00:00-05:00,25.6200008392334,25.68400001525879,25.6200008392334,25.68400001525879,78900,0.0,0.0
2024-11-25 00:00:00-05:00,25.850000381469727,25.850000381469727,25.700000762939453,25.715999603271484,24000,0.0,0.0
