Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-12-01 00:00:00-05:00,20.100000381469727,20.25,20.0,20.15399932861328,81500,0.0,0.0,0.0
2023-12-04 00:00:00-05:00,19.950000762939453,20.0049991607666,19.790000915527344,19.933000564575195,69000,0.0,0.0,0.0
2023-12-05 00:00:00-05:00,20.059999465942383,20.059999465942383,19.934999465942383,20.0,3900,0.0,0.0,0.0
2023-12-06 00:00:00-05:00,20.100000381469727,20.170000076293945,19.899999618530273,19.899999618530273,20500,0.0,0.0,0.0
2023-12-07 00:00:00-05:00,20.010000228881836,20.200000762939453,19.979999542236328,20.165000915527344,2200,0.0,0.0,0.0
2023-12-08 00:00:00-05:00,20.1200008392334,20.350000381469727,20.1200008392334,20.344999313354492,63700,0.0,0.0,0.0
2023-12-11 00:00:00-05:00,20.25,20.45400047302246,20.18000030517578,20.405000686645508,55300,0.0,0.0,0.0
2023-12-12 00:00:00-05:00,20.450000762939453,20.593000411987305,20.450000762939453,20.593000411987305,1000,0.0,0.0,0.0
2023-12-13 00:00:00-05:00,20.719999313354492,20.850000381469727,20.670000076293945,20.850000381469727,29200,0.0,0.0,0.0
2023-12-14 00:00:00-05:00,21.06999969482422,21.06999969482422,20.8700008392334,20.98699951171875,20900,0.0,0.0,0.0
2023-12-15 00:00:00-05:00,21.158000946044922,21.18000030517578,21.040000915527344,21.05500030517578,43300,0.0,0.0,0.0
2023-12-18 00:00:00-05:00,21.020000457763672,21.041000366210938,20.979000091552734,21.041000366210938,38000,0.0,0.0,0.0
2023-12-19 00:00:00-05:00,21.149999618530273,21.190000534057617,21.06999969482422,21.14900016784668,7100,0.0,0.0,0.0
2023-12-20 00:00:00-05:00,21.118000030517578,21.219999313354492,20.75,20.75,130000,0.0,0.0,0.0
2023-12-21 00:00:00-05:00,21.06999969482422,21.149999618530273,20.950000762939453,21.149999618530273,6600,0.0,0.0,0.0
2023-12-22 00:00:00-05:00,21.110000610351562,21.110000610351562,21.09000015258789,21.09000015258789,1500,0.0,0.0,0.0
2023-12-26 00:00:00-05:00,21.200000762939453,21.277999877929688,21.200000762939453,21.274999618530273,2600,0.0,0.0,0.0
2023-12-27 00:00:00-05:00,21.264999389648438,21.34000015258789,21.260000228881836,21.304000854492188,1400,0.0,0.0,0.0
2023-12-28 00:00:00-05:00,21.299999237060547,21.420000076293945,21.299999237060547,21.325000762939453,80000,0.0,0.0,0.0
2023-12-29 00:00:00-05:00,21.264999389648438,21.329999923706055,21.209999084472656,21.209999084472656,2800,0.0,0.0,0.0
2024-01-02 00:00:00-05:00,20.920000076293945,20.920000076293945,20.59000015258789,20.590999603271484,113600,0.0,0.0,0.0
2024-01-03 00:00:00-05:00,20.450000762939453,20.489999771118164,20.350000381469727,20.402000427246094,35100,0.0,0.0,0.0
2024-01-04 00:00:00-05:00,20.270000457763672,20.329999923706055,20.256999969482422,20.256999969482422,2400,0.0,0.0,0.0
2024-01-05 00:00:00-05:00,20.40999984741211,20.40999984741211,20.288000106811523,20.288000106811523,3100,0.0,0.0,0.0
2024-01-08 00:00:00-05:00,20.43000030517578,20.834999084472656,20.43000030517578,20.834999084472656,14100,0.0,0.0,0.0
2024-01-09 00:00:00-05:00,20.645000457763672,20.860000610351562,20.645000457763672,20.854000091552734,1000,0.0,0.0,0.0
2024-01-10 00:00:00-05:00,20.895999908447266,21.020000457763672,20.87299919128418,20.993000030517578,15000,0.0,0.0,0.0
2024-01-11 00:00:00-05:00,20.989999771118164,21.1299991607666,20.959999084472656,21.11400032043457,3200,0.0,0.0,0.0
2024-01-12 00:00:00-05:00,21.149999618530273,21.170000076293945,21.149999618530273,21.170000076293945,600,0.0,0.0,0.0
2024-01-16 00:00:00-05:00,21.100000381469727,21.27400016784668,21.100000381469727,21.139999389648438,7900,0.0,0.0,0.0
2024-01-17 00:00:00-05:00,20.93000030517578,21.104999542236328,20.93000030517578,21.104999542236328,8800,0.0,0.0,0.0
2024-01-18 00:00:00-05:00,21.579999923706055,21.70599937438965,21.530000686645508,21.70599937438965,11700,0.0,0.0,0.0
2024-01-19 00:00:00-05:00,21.82900047302246,22.163000106811523,21.82900047302246,22.16200065612793,2800,0.0,0.0,0.0
2024-01-22 00:00:00-05:00,22.34000015258789,22.368000030517578,22.219999313354492,22.25,10500,0.0,0.0,0.0
2024-01-23 00:00:00-05:00,22.299999237060547,22.350000381469727,22.15999984741211,22.340999603271484,15800,0.0,0.0,0.0
2024-01-24 00:00:00-05:00,22.6299991607666,23.040000915527344,22.6299991607666,22.739999771118164,46900,0.0,0.0,0.0
2024-01-25 00:00:00-05:00,22.979000091552734,22.999000549316406,22.767000198364258,22.767000198364258,2000,0.0,0.0,0.0
2024-01-26 00:00:00-05:00,22.639999389648438,22.739999771118164,22.604999542236328,22.604999542236328,1300,0.0,0.0,0.0
2024-01-29 00:00:00-05:00,22.559999465942383,22.74799919128418,22.530000686645508,22.74799919128418,10100,0.0,0.0,0.0
2024-01-30 00:00:00-05:00,22.610000610351562,22.65999984741211,22.584999084472656,22.6200008392334,5100,0.0,0.0,0.0
2024-01-31 00:00:00-05:00,22.3439998626709,22.450000762939453,22.21500015258789,22.21500015258789,9200,0.0,0.0,0.0
2024-02-01 00:00:00-05:00,22.299999237060547,22.510000228881836,22.246999740600586,22.43000030517578,10800,0.0,0.0,0.0
2024-02-02 00:00:00-05:00,22.520000457763672,22.777000427246094,22.520000457763672,22.777000427246094,3400,0.0,0.0,0.0
2024-02-05 00:00:00-05:00,22.81999969482422,22.959999084472656,22.68400001525879,22.927000045776367,11000,0.0,0.0,0.0
2024-02-06 00:00:00-05:00,22.969999313354492,22.969999313354492,22.71500015258789,22.88599967956543,5600,0.0,0.0,0.0
2024-02-07 00:00:00-05:00,23.139999389648438,23.299999237060547,23.1200008392334,23.299999237060547,3200,0.0,0.0,0.0
2024-02-08 00:00:00-05:00,23.360000610351562,23.639999389648438,23.360000610351562,23.541000366210938,8500,0.0,0.0,0.0
2024-02-09 00:00:00-05:00,23.59000015258789,23.959999084472656,23.59000015258789,23.913999557495117,8200,0.0,0.0,0.0
2024-02-12 00:00:00-05:00,23.899999618530273,23.979999542236328,23.649999618530273,23.649999618530273,5400,0.0,0.0,0.0
2024-02-13 00:00:00-05:00,23.059999465942383,23.270000457763672,22.950000762939453,23.200000762939453,66400,0.0,0.0,0.0
2024-02-14 00:00:00-05:00,23.420000076293945,23.559999465942383,23.329999923706055,23.559999465942383,5400,0.0,0.0,0.0
2024-02-15 00:00:00-05:00,23.579999923706055,23.64900016784668,23.440000534057617,23.64900016784668,17400,0.0,0.0,0.0
2024-02-16 00:00:00-05:00,23.44099998474121,23.540000915527344,23.385000228881836,23.385000228881836,900,0.0,0.0,0.0
2024-02-20 00:00:00-05:00,23.270000457763672,23.270000457763672,22.93000030517578,23.100000381469727,14900,0.0,0.0,0.0
2024-02-21 00:00:00-05:00,22.809999465942383,22.979999542236328,22.770000457763672,22.979999542236328,2900,0.0,0.0,0.0
2024-02-22 00:00:00-05:00,23.6200008392334,23.899999618530273,23.6200008392334,23.865999221801758,7500,0.0,0.0,0.0
2024-02-23 00:00:00-05:00,24.059999465942383,24.059999465942383,23.770000457763672,23.8799991607666,11100,0.0,0.0,0.0
2024-02-26 00:00:00-05:00,23.959999084472656,24.014999389648438,23.8799991607666,23.97100067138672,2400,0.0,0.0,0.0
2024-02-27 00:00:00-05:00,23.959999084472656,23.969999313354492,23.829999923706055,23.8799991607666,10900,0.0,0.0,0.0
2024-02-28 00:00:00-05:00,23.649999618530273,23.75,23.628000259399414,23.739999771118164,3800,0.0,0.0,0.0
2024-02-29 00:00:00-05:00,23.875,24.100000381469727,23.761999130249023,24.07200050354004,4000,0.0,0.0,0.0
2024-03-01 00:00:00-05:00,24.225000381469727,24.610000610351562,24.209999084472656,24.572999954223633,9400,0.0,0.0,0.0
2024-03-04 00:00:00-05:00,24.790000915527344,24.961999893188477,24.729000091552734,24.760000228881836,8000,0.0,0.0,0.0
2024-03-05 00:00:00-05:00,24.610000610351562,24.610000610351562,24.159000396728516,24.270999908447266,5300,0.0,0.0,0.0
2024-03-06 00:00:00-05:00,24.6200008392334,24.829999923706055,24.6200008392334,24.756000518798828,1800,0.0,0.0,0.0
2024-03-07 00:00:00-05:00,25.18000030517578,25.395000457763672,25.15399932861328,25.395000457763672,2700,0.0,0.0,0.0
2024-03-08 00:00:00-05:00,25.479999542236328,25.68000030517578,24.719999313354492,24.790000915527344,25800,0.0,0.0,0.0
2024-03-11 00:00:00-04:00,24.549999237060547,24.559999465942383,24.309999465942383,24.409000396728516,5000,0.0,0.0,0.0
2024-03-12 00:00:00-04:00,24.968000411987305,24.985000610351562,24.739999771118164,24.985000610351562,600,0.0,0.0,0.0
2024-03-13 00:00:00-04:00,24.684999465942383,24.850000381469727,24.684999465942383,24.790000915527344,5000,0.0,0.0,0.0
2024-03-14 00:00:00-04:00,24.719999313354492,24.719999313354492,24.479999542236328,24.540000915527344,2100,0.0,0.0,0.0
2024-03-15 00:00:00-04:00,24.440000534057617,24.440000534057617,24.18000030517578,24.18000030517578,9000,0.0,0.0,0.0
2024-03-18 00:00:00-04:00,24.559999465942383,24.559999465942383,24.312000274658203,24.312000274658203,4500,0.0,0.0,0.0
2024-03-19 00:00:00-04:00,24.100000381469727,24.423999786376953,24.040000915527344,24.371999740600586,4200,0.0,0.0,0.0
2024-03-20 00:00:00-04:00,24.450000762939453,24.64900016784668,24.309999465942383,24.64900016784668,2600,0.0,0.0,0.0
2024-03-21 00:00:00-04:00,25.010000228881836,25.138999938964844,24.92799949645996,24.93000030517578,2200,0.0,0.0,0.0
2024-03-22 00:00:00-04:00,24.850000381469727,24.969999313354492,24.850000381469727,24.90999984741211,3700,0.0,0.0,0.0
2024-03-25 00:00:00-04:00,24.760000228881836,24.959999084472656,24.760000228881836,24.829999923706055,2800,0.0,0.0,0.0
2024-03-26 00:00:00-04:00,24.989999771118164,24.989999771118164,24.68000030517578,24.68000030517578,47000,0.0,0.0,0.0
2024-03-27 00:00:00-04:00,24.684999465942383,24.684999465942383,24.489999771118164,24.62700080871582,4900,0.0,0.0,0.0
2024-03-28 00:00:00-04:00,24.6200008392334,24.68000030517578,24.549999237060547,24.549999237060547,4300,0.0,0.0,0.0
2024-04-01 00:00:00-04:00,24.670000076293945,24.979999542236328,24.670000076293945,24.777000427246094,3700,0.0,0.0,0.0
2024-04-02 00:00:00-04:00,24.479999542236328,24.549999237060547,24.43400001525879,24.52199935913086,1100,0.0,0.0,0.0
2024-04-03 00:00:00-04:00,24.708999633789062,24.708999633789062,24.510000228881836,24.61400032043457,5000,0.0,0.0,0.0
2024-04-04 00:00:00-04:00,24.829999923706055,24.860000610351562,24.166000366210938,24.166000366210938,3600,0.0,0.0,0.0
2024-04-05 00:00:00-04:00,24.25,24.367000579833984,24.233999252319336,24.367000579833984,1700,0.0,0.0,0.0
2024-04-08 00:00:00-04:00,24.56999969482422,24.56999969482422,24.360000610351562,24.371000289916992,7700,0.0,0.0,0.0
2024-04-09 00:00:00-04:00,24.600000381469727,24.6299991607666,24.329999923706055,24.479000091552734,8300,0.0,0.0,0.0
2024-04-10 00:00:00-04:00,24.3799991607666,24.405000686645508,24.25,24.329999923706055,14600,0.0,0.0,0.0
2024-04-11 00:00:00-04:00,24.329999923706055,24.73900032043457,24.329999923706055,24.684999465942383,2700,0.0,0.0,0.0
