Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-08-04 00:00:00-04:00,94.4705581665039,94.479980857011,94.4705581665039,94.4705581665039,5400,0.0,0.0,0.0
2023-08-07 00:00:00-04:00,94.56476312074466,94.56476312074466,94.46113508781325,94.47998046875,1200,0.0,0.0,0.0
2023-08-08 00:00:00-04:00,94.49883270263672,94.49883270263672,94.49883270263672,94.49883270263672,100,0.0,0.0,0.0
2023-08-09 00:00:00-04:00,94.50825419963476,94.52709239572536,94.50825419963476,94.52238464355469,7100,0.0,0.0,0.0
2023-08-10 00:00:00-04:00,94.55630043713711,94.56477439090234,94.5525270480559,94.55535888671875,1300,0.0,0.0,0.0
2023-08-11 00:00:00-04:00,94.57137243123863,94.57419708249371,94.55535888671875,94.55535888671875,1300,0.0,0.0,0.0
2023-08-14 00:00:00-04:00,94.57891046377074,94.60246360044712,94.57891046377074,94.59304809570312,5200,0.0,0.0,0.0
2023-08-15 00:00:00-04:00,94.67782915018088,94.67782915018088,94.61188468105519,94.62130737304688,30800,0.0,0.0,0.0
2023-08-16 00:00:00-04:00,94.62130737304688,94.63072287763049,94.61188468105519,94.62130737304688,8700,0.0,0.0,0.0
2023-08-17 00:00:00-04:00,94.6495590209961,94.65898171206786,94.64390253139008,94.6495590209961,9700,0.0,0.0,0.0
2023-08-18 00:00:00-04:00,94.66839721573223,94.66839721573223,94.64484408175653,94.6495590209961,1000,0.0,0.0,0.0
2023-08-21 00:00:00-04:00,94.64956584513976,94.67782673298524,94.64956584513976,94.6636962890625,10400,0.0,0.0,0.0
2023-08-22 00:00:00-04:00,94.67784160300866,94.67784160300866,94.66841890977761,94.67313385009766,4300,0.0,0.0,0.0
2023-08-23 00:00:00-04:00,94.68442357871314,94.68724822998047,94.68442357871314,94.68724822998047,2100,0.0,0.0,0.0
2023-08-24 00:00:00-04:00,94.73435935062753,94.74378204345703,94.73435935062753,94.74378204345703,24000,0.0,0.0,0.0
2023-08-25 00:00:00-04:00,94.73057869639453,94.73434489798828,94.72492939400391,94.7296371459961,6300,0.0,0.0,0.0
2023-08-28 00:00:00-04:00,94.76260375976562,94.76260375976562,94.75789600787404,94.76260375976562,5400,0.0,0.0,0.0
2023-08-29 00:00:00-04:00,94.77204897559596,94.77676391601562,94.76828277318758,94.77676391601562,1300,0.0,0.0,0.0
2023-08-30 00:00:00-04:00,94.78616333007812,94.78616333007812,94.78239712830913,94.78616333007812,1500,0.0,0.0,0.0
2023-08-31 00:00:00-04:00,94.85681993144321,94.85681993144321,94.83326679626788,94.83797454833984,3900,0.0,0.0,0.0
2023-09-01 00:00:00-04:00,94.87580896093782,94.87580896093782,94.8663558959961,94.8663558959961,3500,0.4,0.0,0.0
2023-09-05 00:00:00-04:00,94.87580502348564,94.87580502348564,94.87107849121094,94.87107849121094,600,0.0,0.0,0.0
2023-09-06 00:00:00-04:00,94.89473018454795,94.89473018454795,94.88526990346018,94.88621520996094,2500,0.0,0.0,0.0
2023-09-07 00:00:00-04:00,94.94201529299993,94.95147557390189,94.93539814762455,94.9495849609375,4400,0.0,0.0,0.0
2023-09-08 00:00:00-04:00,94.96093339436443,94.96093339436443,94.9561996459961,94.9561996459961,3600,0.0,0.0,0.0
2023-09-11 00:00:00-04:00,94.97984257011997,94.98930285036153,94.97038950595793,94.98835754394531,30900,0.0,0.0,0.0
2023-09-12 00:00:00-04:00,94.9798547065131,94.9798547065131,94.97040164114316,94.97512817382812,6600,0.0,0.0,0.0
2023-09-13 00:00:00-04:00,94.99497149046641,94.99875993208319,94.98929965216014,94.99402618408203,1800,0.0,0.0,0.0
2023-09-14 00:00:00-04:00,95.03187044131,95.03187044131,95.02241016035627,95.02525329589844,6500,0.0,0.0,0.0
2023-09-15 00:00:00-04:00,95.04132063151181,95.04132063151181,95.0318603515625,95.0318603515625,9400,0.0,0.0,0.0
2023-09-18 00:00:00-04:00,95.05077583636151,95.05550236804416,95.04887800760955,95.0536117553711,1300,0.0,0.0,0.0
2023-09-19 00:00:00-04:00,95.07442884924055,95.09334941074356,95.06497578456893,95.07916259765625,58200,0.0,0.0,0.0
2023-09-20 00:00:00-04:00,95.08388166943618,95.09334194944542,95.08388166943618,95.08861541748047,3600,0.0,0.0,0.0
2023-09-21 00:00:00-04:00,95.13118743896484,95.13118743896484,95.12172715780349,95.13118743896484,23500,0.0,0.0,0.0
2023-09-22 00:00:00-04:00,95.13118736178068,95.15956098916148,95.13118736178068,95.15010070800781,43000,0.0,0.0,0.0
2023-09-25 00:00:00-04:00,95.15956098916148,95.15956098916148,94.99877228995008,95.15010070800781,25700,0.0,0.0,0.0
2023-09-26 00:00:00-04:00,95.1642837524414,95.16901750087085,95.1642837524414,95.1642837524414,40900,0.0,0.0,0.0
2023-09-27 00:00:00-04:00,95.17847442626953,95.19739498859495,95.17847442626953,95.17847442626953,48300,0.0,0.0,0.0
2023-09-28 00:00:00-04:00,95.22576510581658,95.23522538663056,95.2163048250026,95.2304916381836,23600,0.0,0.0,0.0
2023-09-29 00:00:00-04:00,95.23524475097656,95.23524475097656,95.23051100156708,95.23524475097656,3600,0.0,0.0,0.0
2023-10-02 00:00:00-04:00,95.24849905664912,95.24849905664912,95.22953221465573,95.24375915527344,3700,0.284,0.0,0.0
2023-10-03 00:00:00-04:00,95.25795541265107,95.26744244883724,95.25795541265107,95.2626953125,14500,0.0,0.0,0.0
2023-10-04 00:00:00-04:00,95.25798985569577,95.27695669843777,95.25798985569577,95.272216796875,6600,0.0,0.0,0.0
2023-10-05 00:00:00-04:00,95.31489585520049,95.343349737032,95.31489585520049,95.33386993408203,8600,0.0,0.0,0.0
2023-10-06 00:00:00-04:00,95.34333824030094,101.12920139806207,95.33005928128138,95.36231231689453,249100,0.0,0.0,0.0
2023-10-09 00:00:00-04:00,95.33387739440626,95.35284423828125,95.32439035422308,95.35284423828125,13100,0.0,0.0,0.0
2023-10-10 00:00:00-04:00,95.35567314697545,95.3718032836914,95.35567314697545,95.3718032836914,4100,0.0,0.0,0.0
2023-10-11 00:00:00-04:00,95.38128662109375,95.38128662109375,95.36705968078017,95.38128662109375,3500,0.0,0.0,0.0
2023-10-12 00:00:00-04:00,95.41829117572472,95.42872619628906,95.40027231219824,95.42872619628906,91700,0.0,0.0,0.0
2023-10-13 00:00:00-04:00,95.40974078709411,95.44768170687395,95.18210250490559,95.43820190429688,82300,0.0,0.0,0.0
